Date,Cateogry,Sub-Category,Title,Question
Mar 31 2021 08:39 PM,Writing,Essay,"With the increase in academic standards that need to be covered, recess has been reduced and even...","With the increase in academic standards that need to be covered, recess has been reduced and even eliminated in some school districts. If your principal approached you about eliminating recess from the school day, what would be your response? Use research to support your response. Comment as you see fit. Min 40 words or more"
Apr 08 2021 08:02 AM,Writing,Essay,The purpose of doing a company profile is to facilitate deeper...,"The purpose of doing a company profile is to facilitate deeper understanding of your organization’s mission, identify impactful shaping moments in the company’s history, and explore current and related industries. Learning the ins and outs of your organizational structure or even how external agencies or the role of government impacts the way your company conducts business is critical for personal advancment and finding organizational succes.
         
            
             
                 
                     Attachments:  
                 
                 1s.pdf"
Apr 23 2021 02:59 PM,Writing,Essay,"Akshat and Rishita Jindal immigrated to the US from India 10 years ago with their daughters,...","Akshat and Rishita Jindal immigrated to the US from India 10 years ago with their daughters, Samriddhi and Charvi, who were 5 and 3 years old at the time, respectively. They had suffered the loss of their eldest daughter, Prisha, before they came to the US. But, Akshat and Rishita had Adamya, who was born in the US.    Akshat’s parents later emigrated from India to join Akshat and his family. They reside together in the same household as they did when they lived in India. The health of his father, Aadit, is declining, though his Mother, Dhriti, remains strong.    Samriddhi was just 3 years old when her big sister, Prisha, died. She remembers her sister as a sickly child who required all of her mother’s attention and care. Samriddhi and Charvi were cared for by their grandparents while their mother tended to Prisha’s needs and their father was at work. After Prisha’s death, their mother was distraught. It was common for the sisters to go several weeks without interacting with their mother, who spent most of her time in bed, sleeping. Aadit and Dhriti did their best to care for the children, since their mother could not. They were particularly saddened for Charvi who was not breastfed, nor did she get to sleep with her parents during her first year of life. The grandparents continued caring for the children until the family moved to the United States. The grandparents, Aadit and Dhriti, felt disrespected and were angered by Akshat’s betrayal of the family. The Jindal family had been in the same village for 9 generations! As their only son, they worried about who would care for them in their old age, and they missed their grandchildren tremendously.    The move for the Jindal family was difficult in many ways. Samriddhi and Charvi missed their grandparents deeply. They also missed the familiar Hindi language, their favorite foods, and the comfort of the many people from their small village who were like an extended family. The move, however, seemed to help their mother, Rishita. She spent less time sleeping and more time with the girls while their father, an engineer, worked, often late into the evening hours. The three spent all of their time together, much of which was devoted to learning English. While not as stern as their grandparents, their mother was a firm disciplinarian. She expected much from the girls, especially when it came to academics; less than 100% was unacceptable. Complaints were not tolerated, and disobedience would result in physical punishment by both parents. For 2 years, they studied English and embraced many cultural experiences, which helped to dull the pain of homesickness. Things got even better for Samriddhi and Charvi when they started school and made friends. Rishita even befriended a group of ladies she had met at the girls’ school. She enjoyed socializing with them, much to the displeasure of Akshat who expected his wife to abide by traditional Indian customs. Their arguments worsened; it was not uncommon for Akshat to strike his wife. The girls often overheard these fights, but Rishita consistently dismissed the bruises left by her husband. Soon, their brother Adamya was born. Their father was elated at the birth of a son. For the first time ever, their father interacted lovingly with his wife, who had finally given him a son.    Sam and Char, as they now preferred to be called, thrived at school. Academically, their mother’s diligence prepared them well. Socially, they were eager playmates who reveled in opportunities and adventures that appeared to be underwhelming and typical to their American peers. They wanted to participate in everything from karate and dance, to playing soccer and guitar. For years, they begged their parents for permission to participate in these extracurricular activities, but their interests were dismissed as “not for girls” and “an unnecessary waste of time that should be devoted to studying.” Good study habits were important in order to become a physician, or an engineer, as their parents expected. At last, their father surrendered to “another Western idea” and agreed to allow each girl to choose one activity with the understanding that if their school work was compromised, the activity would be discontinued. Their daughters were abiding by the arrangement. Akshat and Rishita enjoyed attending their games and concerts, and even made a few social acquaintances, but Adamya remained the apple of his father’s eye.    Sam and Char were 16 and 14 when their grandparents left India and moved in with them. They treasured the fond memories they had of their grandparents, yet were filled with mixed emotions when they arrived. Dhirti was strong as ever, but Aadit had become old and frail, and required much assistance from Dhirti. At first, there were hugs and tears of joy, then came the questions, comments, and criticism. Both grandparents refused to call the children by their preferred Western names and were not shy about expressing their overall disapproval of the family’s lifestyle. Aadit berated his son for not being the leader in his own home; Dhirti apologized for not choosing him a better wife. Dhirti was appalled at what she called “frivolous parenting” and even took it upon herself to spank Adam for turning on the TV while his grandfather was napping. Dhirti accused Sam and Char of bringing shame to the family with their “indecent” clothing and casual interactions with boys. The children tried, to no avail, to share Western customs with their grandparents, who perceived this as disrespect. Conflict escalated with all family members, but the last straw was when Dhirti and Aadit insisted on returning with their granddaughters to India where they would marry like a “respectable” Indian female. Akshat, the leader of his home, informed his parents that his family had embraced a multicultural life in America where they intended to stay. Dhirti and Aadit returned to India where they were welcomed by their many life-long friends who helped Dhirti care for Aadit throughout his remaining days.     	  		  			  			 After reading the case study, explain how Akshat and Rishita’s beliefs were formed and maintained. (50-75 words)   			  			  		  		  			  			 Explain how Akshat and Rishita’s beliefs were influenced by Western culture. (50-75 words)   			  			  		  		  			  			 Citing two scholarly sources, explain what lay theories in parenting are. (75-100 words)   			  			  		  		  			  			 Citing two additional scholarly sources, explain some evidence-based practices in parenting. (75-100 words)   			  			  		  		  			  			 Explain some similarities between lay theories in parenting and evidence-based practices in parenting. (75-100 words)   			 Lay theories in parenting and Evidence-based practices both reflect the core beliefs that people hold in different domains or aspects of life, which may or may not be explicitly connected or indicated, but organize the processing of new information and decision-making, in short, usually accepted in practice as appropriate for the population. Both theories also might have an essential factor in explaining the various elements of parents' behaviors in dealing with their child. Both approaches are also considered well-established that people more easily encode or get new information consistent or aligned with an existing psychological model or basis that they hold.   			 We need to be aware that there are various dynamics in parenting. Theories about child-rearing—whether lay or scientific—are essential because they help us understand parenting and prescribe how parents could be guided in dealing with their children. Each individual is also unique and has their own way of coping with situations that parents should learn   			  			  		  		  			  			 Describe the lay theories about parenting that Akshat and Rishita relied on. (50-75 words)   			  			  		  		  			  			 Explain all the cultural influences on Akshat and Rishita. How did these cultural influences change over time? Why do you think their parenting style had to adapt? (100-150 words)   			  			  		  		  			  			 Notice the roles of father and mother in this case study. Explain how their roles differ from contemporary Western roles of parents. (100-150 words)   			  			  		  	         References:"
Nov 25 2020 02:32 PM,Writing,Admission Services,1. Does the Act of Union 1706 impose limitations on what future Parliaments can do? 2. How far has..,"1. Does the Act of Union 1706
impose limitations on what future Parliaments can do?  

 2. How far has the UK’s
membership of the EU altered the traditional understanding of the legislative
supremacy of Parliament?"
Dec 23 2020 10:59 PM,Writing,Capstone,"Write an additional 2,000-2,250 words using the data in the “Interpreti...","Write an additional 2,000-2,250 words using the data in the “Interpreting Test Results” resource to create a set of reports in which you interpret the test results and make recommendations about each of the three fictional clients tested. Your reports should be developed for delivery to the leader in each of the respective settings. This section should flow naturally from the revised paper. So, you may also need to revise your introduction and thesis statement to allow the ideas to connect. Each report should include the following:    1.A synopsis of the reliability and validity of the test administered.    2. Private notes that describe your thought process for analyzing and drawing conclusions from the test data and the client’s situation. Note: This section represents your private notes and may be presented as a bulleted list.    3. Recommendations for the leader in which you provide an overview of the client and situation, describe your conclusions, and make your formal recommendations. Note: This is a more formal statement and should exhibit a professional tone and writing style. 
         
            
             
                 
                     Attachments:  
                 
                 Interpreting-....docx"
Nov 09 2020 02:43 PM,Writing,Capstone,"Researchers, healthcare organisations, and g...","Researchers, healthcare organisations, and governments are increasingly recognising the vital role of communication in patient safety and the delivery of quality healthcare services, particularly in high-stress contexts as emergency departments, such as emergency departments (EDs). Effective communication in an ED is a primary contributor to patient satisfaction and safety and clinician job gratification and retention (Pun, Matthiessen, Murray, & Slade, 2015). According to Lloyd, Skarratts, Robinson, & Reid (2000), effective clinician-patient communication is a critical clinician function that healthcare systems cannot delegate. Indeed, “treating every patient politely and considerately, listening to and respecting their views, giving them information in a way that they can understand, and respecting their right to be fully involved in decisions about their care are duties of doctors” (Lloyd et al., 2000). Communicative risks and challenges in EDs arise directly from the significant and growing contextual complexity of the ED environment (Pun et al., 2015). Research shows that this complexity emanates from several factors: increased demand, the twenty-four-hour care, the episodic and short-term nature of emergency care and its influence on clinician-patient relations, linguistic and cultural diversity of patients and clinicians, and cross-disciplinary and cross-level teams
         
            
             
                 
                     Attachments:  
                 
                 qualitative-p....doc"
Nov 25 2020 02:32 PM,Writing,Admission Services,"To what extent, if any, do you agree with the view expressed by Professor Bogdanor that the...","To what extent, if any, do you
agree with the view expressed by Professor Bogdanor that the referendum in the
UK has become ‘an instrument of entrenchment since it prevents the powers of
Parliament from being transferred without the approval of the people’? 5 Are
you convinced by the manner and form argument? Why?"
Jan 01 2021 04:03 PM,Writing,Capstone,Integrate and apply their knowledge and skills in publi...,"Integrate and apply their knowledge and skills in public health 3. Develop research skills and apply these to a public health issue 4. Conduct a small literature review which critically analyses key issues on a public health research topic 5. Define and justify a research question, based on the literature/public health issue, and outline its significance
         
            
             
                 
                     Attachments:  
                 
                 pubh6008-asse....pdf"
Jan 27 2021 06:32 PM,Writing,Capstone,HURRICANE KATRINAWhat responsibility do engineers have for the failure of the levee system in New...,HURRICANE KATRINAWhat responsibility do engineers have for the failure of the levee system in New Orleans after Hurricane Katrina?
Dec 21 2020 07:37 AM,Writing,Capstone,You are required to implement a Python module that contains function...,"You are required to implement a Python module that contains functions that manipulate lists. Please ensure that you read sections titled 'Part I specification' below for further details. Part II: Manage character (hero and villain) information You are required to write a Python program that will manage character (heroes and villain) information. Character (hero and villain) information will be stored in a text file that will be read in when the program commences. Once the initial character (hero and villain) information has been read in from the file, the program should allow the user to interactively query and manipulate the character (hero and villain) information. Please ensure that you read sections titled 'Part II specification' below for further details
         
            
             
                 
                     Attachments:  
                 
                 psp-assignmen....pdf"
Jan 03 2021 05:26 AM,Writing,Capstone,Please look at the rubric at least 10 references not older then 10 years and please provide this...,Please look at the rubric at least 10 references not older then 10 years and please provide this to the M JoharShe knows this task. Thank you
